adduser	3.113+nmu3
adwaita-icon-theme	3.18.0-2
apt	1.2.3
aspell	0.60.7~20110707-3+b1
aspell-en	7.1-0-1.1
base-files	9.5
base-passwd	3.5.39
bash	4.3-14+b1
bc	1.06.95-9+b1
bind9-host	1:9.9.5.dfsg-12.1
bogl-bterm	0.1.18-11
bsdmainutils	9.0.6+b1
bsdutils	1:2.27.1-3
btrfs-tools	4.4-1
busybox	1:1.22.0-18
bzip2	1.0.6-8
calcoo	1.3.18-3.1
cifs-utils	2:6.4-1
console-common	0.7.89
console-data	2:1.12-5
console-setup	1.136
console-setup-linux	1.136
coreutils	8.25-2
cpio	2.11+dfsg-5
cpp	4:5.3.1-1
cpp-5	5.3.1-8
cpufrequtils	008-1
cryptsetup	2:1.7.0-2
cryptsetup-bin	2:1.7.0-2
dash	0.5.8-2.1
dbus	1.10.6-1
dconf-gsettings-backend:i386	0.24.0-2
dconf-service	0.24.0-2
ddrescueview	0.4~alpha2-1
debconf	1.5.58
debconf-i18n	1.5.58
debian-archive-keyring	2014.3
debianutils	4.7
dictionaries-common	1.26.3
diffutils	1:3.3-3
discover	2.1.2-7
discover-data	2.2013.01.11
dmeventd	2:1.02.115-2
dmraid	1.0.0.rc16-7
dmsetup	2:1.02.115-2
dnsutils	1:9.9.5.dfsg-12.1
dosfstools	3.0.28-2
dpkg	1.18.4
e2fslibs:i386	1.42.13-1
e2fsprogs	1.42.13-1
efibootmgr	0.12-4
eject	2.1.5+deb1+cvs20081104-13.1
emacsen-common	2.0.8
ethtool	1:4.2-1
extlinux	3:6.03+dfsg-11
f2fs-tools	1.6.0-2
feh	2.14.1-2
file	1:5.25-2
findutils	4.6.0+git+20160126-2
firmware-amd-graphics	20160110-1
firmware-bnx2	20160110-1
firmware-bnx2x	20160110-1
firmware-linux	20160110-1
firmware-linux-free	3.4
firmware-linux-nonfree	20160110-1
firmware-misc-nonfree	20160110-1
firmware-qlogic	20160110-1
fluxbox	1.3.5-2+b1
fontconfig	2.11.0-6.3
fontconfig-config	2.11.0-6.3
fonts-arphic-uming	0.2.20080216.2-7
fonts-dejavu-core	2.35-1
fonts-hanazono	20160201-1
fsarchiver	0.6.21-1
ftp	0.17-33
fuse	2.9.5-1
gcc-4.8-base:i386	4.8.5-4
gcc-4.9-base:i386	4.9.3-12
gcc-5-base:i386	5.3.1-8
gddrescue	1.19-2+b1
gdisk	1.0.1-1
gettext-base	0.19.7-2
glib-networking:i386	2.46.1-1+b1
glib-networking-common	2.46.1-1
glib-networking-services	2.46.1-1+b1
gnupg	1.4.20-4
gpart	1:0.3-1
gparted	0.25.0-drbl1
gpgv	1.4.20-4
gptsync	0.14-2
grep	2.23-1
groff-base	1.22.3-7
grub-common	2.02~beta2-36
grub-pc	2.02~beta2-36
grub-pc-bin	2.02~beta2-36
grub2-common	2.02~beta2-36
gsettings-desktop-schemas	3.18.1-1
gsmartcontrol	0.8.7-1.1+b2
gzip	1.6-4
hdparm	9.43-2
hfsprogs	332.25-11+b1
hfsutils	3.2.6-13
hicolor-icon-theme	0.13-1
hostname	3.16
idesk	0.7.5-6
ifupdown	0.8.10
init	1.28
init-system-helpers	1.28
initramfs-tools	0.123
initramfs-tools-core	0.123
initscripts	2.88dsf-59.3
insserv	1.14.0-5.2
iproute2	4.3.0-1
iputils-ping	3:20121221-5+b2
isc-dhcp-client	4.3.3-8
iso-codes	3.65-1
iw	3.17-1
jfsutils	1.1.15-2.1
kbd	2.0.3-2
keyboard-configuration	1.136
klibc-utils	2.0.4-8
kmod	22-1
kpartx	0.5.0+git1.656f8865-4
leafpad	0.8.18.1-4
less	481-2
libacl1:i386	2.2.52-3
libapparmor1:i386	2.10-3
libapt-pkg5.0:i386	1.2.3
libaspell15:i386	0.60.7~20110707-3+b1
libatk-bridge2.0-0:i386	2.18.1-1
libatk1.0-0:i386	2.18.0-1
libatk1.0-data	2.18.0-1
libatkmm-1.6-1v5:i386	2.24.2-1
libatspi2.0-0:i386	2.18.3-4
libattr1:i386	1:2.4.47-2
libaudit-common	1:2.4.5-1
libaudit1:i386	1:2.4.5-1
libavahi-client3:i386	0.6.32~rc+dfsg-1
libavahi-common-data:i386	0.6.32~rc+dfsg-1
libavahi-common3:i386	0.6.32~rc+dfsg-1
libbind9-90	1:9.9.5.dfsg-12.1
libblkid1:i386	2.27.1-3
libbsd0:i386	0.8.2-1
libbz2-1.0:i386	1.0.6-8
libc-bin	2.21-8
libc-l10n	2.21-8
libc6:i386	2.21-8
libcairo-gobject2:i386	1.14.6-1
libcairo2:i386	1.14.6-1
libcairomm-1.0-1v5:i386	1.12.0-1
libcap-ng0:i386	0.7.7-1+b1
libcap2:i386	1:2.24-12
libcap2-bin	1:2.24-12
libcolord2:i386	1.2.12-1
libcomerr2:i386	1.42.13-1
libcpufreq0	008-1
libcroco3:i386	0.6.11-1
libcryptsetup4:i386	2:1.7.0-2
libcups2:i386	2.1.3-1
libcurl3:i386	7.47.0-1
libdatrie1:i386	0.2.10-2
libdb5.3:i386	5.3.28-11
libdbus-1-3:i386	1.10.6-1
libdbus-glib-1-2:i386	0.106-1
libdconf1:i386	0.24.0-2
libdebconfclient0:i386	0.205
libdevmapper-event1.02.1:i386	2:1.02.115-2
libdevmapper1.02.1:i386	2:1.02.115-2
libdiscover2	2.1.2-7
libdmraid1.0.0.rc16	1.0.0.rc16-7
libdns-export100	1:9.9.5.dfsg-12.1
libdns100	1:9.9.5.dfsg-12.1
libdrm-amdgpu1:i386	2.4.67-1
libdrm-intel1:i386	2.4.67-1
libdrm-nouveau2:i386	2.4.67-1
libdrm-radeon1:i386	2.4.67-1
libdrm2:i386	2.4.67-1
libedit2:i386	3.1-20150325-1+b1
libefivar0:i386	0.21-2
libegl1-mesa:i386	11.1.2-1
libenchant1c2a:i386	1.6.0-10.1
libepoxy0:i386	1.3.1-1
libevdev2:i386	1.4.6+dfsg-1
libexif12:i386	0.6.21-2
libexpat1:i386	2.1.0-7
libf2fs0:i386	1.6.0-2
libfdisk1:i386	2.27.1-3
libffi6:i386	3.2.1-4
libfm-data	1.2.3-1
libfm-extra4:i386	1.2.3-1
libfm-gtk-data	1.2.3-1
libfm-gtk4:i386	1.2.3-1
libfm4:i386	1.2.3-1
libfontconfig1:i386	2.11.0-6.3
libfontenc1:i386	1:1.1.3-1
libfreetype6:i386	2.6.1-0.1
libfribidi0:i386	0.19.7-1
libfuse2:i386	2.9.5-1
libgbm1:i386	11.1.2-1
libgc1c2:i386	1:7.4.2-7.3
